Complexity,Loss,Equation
1,16.549502913303225,"0.24386146656210966"
3,12.416941363256962,"0.6659794192370385 / x1"
4,11.058165816453204,"pow2(0.1621653779133296 / x1)"
5,7.817460946647302,"(0.059419669357153496 / x1) / x2"
6,1.0491688236137313,"pow3(0.3686895696283121 / (x1 + x2))"
7,1.0489859492163074,"pow3(exp(-0.9995436690905848) / (x2 + x1))"
8,0.25780482303878116,"exp(((x1 + x2) + -0.2901637250235071) / -0.04594133847567203)"
9,0.05930589308163755,"exp((pow2(x1 + x2) + -0.057561350117369466) / -0.011153992322195964)"
11,0.04953342490605854,"exp(x2 + ((-0.053003042936724615 + pow2(x2 + x1)) / -0.010215003522643243))"
12,0.04043207312310534,"exp((((1.660897105918425 * x2) + -0.41385191494248) + x1) / -0.037730317274971434) * x2"
14,0.030783354347646088,"exp(((x1 + -0.4146627863348564) + (1.58454898746801 * x2)) / -0.03921766888842068) * (0.005670843459157224 + x2)"
15,0.023701357444004437,"exp(((x1 + ((pow2(x1) + x2) * 2.0384914873027378)) + -0.5134143355965527) / -0.04766492270321992) * x2"
16,0.007020363034911451,"exp((pow2(x1 + x1) + ((x2 * pow2(-0.8626039025357024)) + -0.19190824848121446)) / -0.019102451474865056) * x2"
17,0.007010039378015571,"x2 * exp(((-0.19210692205949076 + (pow3(pow2(0.9520949593660861)) * x2)) + pow2(x1 + x1)) / -0.01912229633274933)"
18,0.006975849915508693,"(exp((pow2(x1 + x1) + (-0.19190824848121446 + (x2 * pow2(-0.8626039025357024)))) / -0.019102451474865056) * x2) + 0.006615436070646318"
19,0.005529207806870019,"x2 * exp((-0.4675031453767382 + (x1 + ((pow2((-0.10508860399108047 + x1) + x1) + x2) * 1.7489499784859923))) / -0.04372675797408531)"
20,0.005377676012290367,"x2 * exp(((x1 + ((pow2(log(x1 + 0.8972846235752936) + x1) + x2) * 1.75140286680354)) + -0.46935641574769205) / -0.04393007306510443)"
21,0.005373462439710467,"x2 * exp((-0.46935640478694823 + (x1 + (pow2(1.3235999105888792) * (pow2(x1 + log(x1 + 0.8972846386855484)) + x2)))) / -0.0439299300461395)"
22,0.005336369936815048,"0.006457861735561451 + (exp((((1.7514028714887608 * (pow2(x1 + log(x1 + 0.8972846386855484)) + x2)) + -0.46935640478694823) + x1) / -0.0439299300461395) * x2)"
23,0.0048197023053441436,"(0.008724380698537688 / x1) + (exp(((((x2 + pow2((x1 + -0.10482564710643719) + x1)) * 1.7521459812332831) + -0.46673804570350047) + x1) / -0.04362432760294058) * x2)"
24,0.0047765832094364335,"(pow3(0.23060112529313992) / x1) + (exp(((((x2 + pow2((x1 + -0.10482564710643719) + x1)) * 1.7521459812332831) + -0.46673804570350047) + x1) / -0.04362432760294058) * x2)"
25,0.004595746649301356,"(pow3(pow2(-3.317225918935838 * x2)) + x2) * exp(((((x2 + pow2((x1 + -0.10482564710643719) + x1)) * 1.7521459812332831) + -0.46673804570350047) + x1) / -0.04362432760294058)"
26,0.0035213699876991546,"exp(((-0.46587045806884375 + (1.7442570511798632 * (x2 + pow2((x1 + -0.10482554167782034) + x1)))) + x1) / -0.0435484185567603) * (exp(2.5276047702888493 + pow3(log(x2))) + x2)"
27,0.0028934959697824864,"(x2 + pow2(pow3(x2 / -0.09992112922302912) * x1)) * exp(((((pow2(-0.10482564710643719 + (x1 + x1)) + x2) * 1.748924238841506) + x1) + -0.4664590061044818) / -0.0436014489106141)"
29,0.002668201941398366,"exp(((1.7444606403416665 * (x2 + pow2(-0.10482564710643719 + (x1 + x1)))) + (x1 + -0.4651430951236344)) / -0.04345676323011133) * (pow3(x2 * pow2((x2 + x1) / 0.1440279932030374)) + x2)"
