Complexity,Loss,Equation
1,139.89110216947827,"2.090535006288719"
2,139.8911021351579,"exp(0.7374616095597221)"
3,97.87324488958323,"0.8414644345688691 / x1"
4,97.87324355759247,"pow3(0.9440285301708932) / x1"
5,76.60657299183167,"2.840959135159774 / (x2 + x1)"
6,25.594180482512616,"x2 / pow3(x1 + x2)"
8,7.710081871939173,"exp((x1 + x2) / -0.05459454825770353) / 0.0028244764711741585"
9,5.4732154327994245,"0.034146235305494675 / ((pow3(x1) + pow3(x2)) + 0.00017986124388753264)"
10,4.945557467076734,"exp(((0.7085044694804051 * x2) + x1) / -0.04486907643689514) / 0.0025534302366485035"
11,3.0968633917966937,"0.025243124435902566 / ((0.00013209544393223165 + pow3(-0.015526904559981592 + x2)) + pow3(x1))"
12,0.25592999030741215,"0.06021343996074825 / ((pow3(x2) + 0.00032443090344524473) * exp(pow2(x1) / 0.005263042819159475))"
14,0.15076593773281477,"0.654012936959842 / (0.0034996534947936537 * exp((pow2(x1) / 0.005315022686226753) + pow2(x2 / 0.08408622440214643)))"
15,0.10255984597344721,"(0.07262867756736505 - pow2(x2)) / (exp(pow2(x1) / 0.005263463317900096) * (0.0003928453113340877 + pow3(x2)))"
17,0.07575472827092719,"0.08408622440214643 / (exp((pow2(x1) / 0.005263042819159475) + pow2(x2 / -0.194019234670927)) * (pow3(x2) + 0.0004543466750722736))"
18,0.06748975110839894,"0.06376428404735136 / ((pow2(pow3(x2 / 0.16150960469721556)) + exp(pow2(x1) / 0.0052488969485840475)) * (pow3(x2) + 0.00034517857235624066))"
19,0.061530856829631705,"0.07419219887331074 / ((0.0004561132944133364 + pow3(x2)) * (exp((pow2(x1) / 0.005617224857471601) + pow2(x2 / 0.200964734238503)) + -0.1361224547445641))"
20,0.06072599065691495,"0.07203701351284848 / ((pow3(x2) + 0.00046087651498753323) * (pow3(-0.5566378221507172) + exp(pow2(x2 / -0.2013624629509566) + (pow2(x1) / 0.005751034162213533))))"
21,0.05770889462606817,"0.06367971666681055 + (0.07419219887331074 / ((exp((pow2(x1) / 0.005617224857471601) + pow2(x2 / 0.200964734238503)) + -0.1361224547445641) * (0.0004561132944133364 + pow3(x2))))"
22,0.057481332178869034,"0.05758174463092609 + (0.07203701351284848 / ((pow3(x2) + 0.00046087651498753323) * (pow3(-0.5566378221507172) + exp(pow2(x2 / 0.2006343125611199) + (pow2(x1) / 0.005751034162213533)))))"
23,0.04915294112335469,"(0.09001976270401611 + pow3(pow2(x1 / -0.24061571858445624))) / ((pow3(x2) + 0.000483117684768911) * exp(pow2(x2 / -0.17941983867120173) + (pow2(x1) / 0.005133235121843175)))"
24,0.03664973519005757,"(pow3(pow2(x1 / -0.24529100698662837)) + 0.06411247852279982) / ((pow3(x2) + 0.0003437415863096075) * (exp(pow2(x1) / 0.005067550788060732) + pow2(pow3(x2 / 0.1613856154279212))))"
26,0.029345661211425816,"(0.06402297176161158 + pow3(pow2((x1 / 0.16814923380619481) + -0.2741250328878744))) / ((pow3(x2) + 0.0003451298003517172) * (pow3(pow2(x2 / -0.16114400960972727)) + exp(pow2(x1) / 0.005169960005298225)))"
27,0.029246497188375117,"(0.06402297176161158 + pow3(pow2(-0.2741250328878744 + (x1 / exp(-1.7892018571863806))))) / ((0.0003451298003517172 + pow3(x2)) * (pow3(pow2(x2 / -0.16114400960972727)) + exp(pow2(x1) / 0.005169960005298225)))"
28,0.027809444745601583,"0.03984107617083789 + ((pow2(pow3(-0.2741250328878744 + (x1 / 0.16814923380619481))) + 0.06402297176161158) / ((pow3(pow2(x2 / -0.1604627025241577)) + exp(pow2(x1) / 0.005169960005298225)) * (pow3(x2) + 0.0003451298003517172)))"
30,0.02636457320032495,"(0.062259309425020865 / (exp(pow2(x1) / 0.0050865798262097915) * (0.0003432843044236077 + (pow3(pow2(x2 / (x2 - 0.5413048264599588))) + pow3(x2))))) + pow3(pow2((1.318898210574647 - x2) - (x1 / 0.5775031264653955)))"
