Complexity,Loss,Equation
1,760.363787488887,"0.8801645373056243"
2,757.4961532241024,"exp(x2)"
3,432.38724430138086,"2.520120076580098 / x1"
5,432.38330885373404,"-0.00046269385776301255 + (2.520120076580098 / x1)"
6,92.12888267578322,"pow3(0.13673873733652592 / (x1 - -0.00757720304403706))"
7,81.3155686229276,"exp(pow2(0.1690014061241114 / (x1 - -0.057731874172535474)))"
8,24.626046955643123,"exp((x2 + -0.3364249742251043) / (-0.03891287474813987 - x1))"
10,20.891338696176344,"exp(((x2 + -0.3364249742251043) / (-0.03891287474813987 - x1)) + x2)"
11,20.891338696176337,"exp((x2 + -0.3364249742251043) / (-0.03891287474813987 - x1)) * exp(x2)"
12,19.06252112361052,"exp(((x2 + -0.3364249742251043) / (-0.03891287474813987 - x1)) + x2) - 1.347305824520369"
13,17.172772341719202,"pow3(pow2((x2 + -0.30115836669634666) * (x2 + (0.47801915537816164 / (-0.03501394806045909 - x1)))))"
14,16.02617710748118,"exp(((x2 + -0.3364249742251043) / (-0.03891287474813987 - x1)) + x2) - (0.2280208011797431 / x1)"
15,15.070258807131323,"pow3(pow2((x2 + -0.30115836669634666) * ((x2 * x2) + (0.47801915537816164 / (-0.03501394806045909 - x1)))))"
16,12.501089657861803,"pow2(pow3((x2 + -0.30115836669634666) * (x2 + (0.47801915537816164 / (-0.03501394806045909 - x1))))) * exp(x2)"
18,10.653223441319735,"pow3(pow2(((x2 * x2) + (0.5021470486211885 / (-0.035355123481193615 - x1))) * (x2 + -0.28808376723927065))) * exp(x2)"
19,9.941768800529077,"pow3(pow2(0.6809225895793405 + (((0.4074061379494574 / (-0.026314512977667057 - x1)) - (x1 * (x1 * x1))) * (-0.22419363963608482 + x2))))"
20,7.648689421832756,"exp(x2) * pow3(pow2((((0.4267080489334814 / (-0.025856031979153267 - x1)) - (x1 * x1)) * (-0.20929861436932007 + x2)) + 0.7100615165573024))"
21,7.264555774876037,"pow2(pow3((((0.4074061379494574 / (-0.026314512977667057 - x1)) - ((x1 * x1) * (x1 * x1))) * (x2 + -0.22419363963608482)) + 0.6809225895793405))"
22,4.908513997116502,"exp(x2) * pow2(pow3((((0.4267080489334814 / (-0.025856031979153267 - x1)) - (x1 * (x1 * x1))) * (-0.20929861436932007 + x2)) + 0.7100615165573024))"
23,4.589137828498583,"pow2(pow3((((0.4074061379494574 / (-0.026314512977667057 - x1)) - ((x1 * (x1 * (x1 * x1))) * x1)) * (-0.22419363963608482 + x2)) + 0.6809225895793405))"
24,4.5156522003491535,"exp(x2) * pow2(pow3((((0.4267080489334814 / (-0.025856031979153267 - x1)) - (((x1 * x1) * x1) - x2)) * (-0.20929861436932007 + x2)) + 0.7100615165573024))"
25,1.9165931819011668,"pow2(pow3(0.6809225895793405 + (((0.4074061379494574 / (-0.026314512977667057 - x1)) - (x1 * (x1 * (((x1 * x1) * x1) * x1)))) * (-0.22419363963608482 + x2))))"
26,1.8717137601473972,"pow2(pow3(exp(-0.3715903442176167) + (((0.4143742379389697 / (-0.02583238577430122 - x1)) - ((x1 * ((x1 * x1) * x1)) * (x1 * x1))) * (x2 + -0.21672003705100695))))"
27,-0.7471202598008482,"pow3(pow2(0.6809225895793405 + (((0.4074061379494574 / (-0.026314512977667057 - x1)) - (x1 * (((x1 * (x1 * x1)) * x1) * (x1 * x1)))) * (-0.22419363963608482 + x2))))"
28,-0.7906751795251736,"pow2(pow3(exp(-0.3715903442176167) + (((0.4143742379389697 / (-0.02583238577430122 - x1)) - (((x1 * x1) * (x1 * (x1 * x1))) * (x1 * x1))) * (x2 + -0.21672003705100695))))"
29,-3.3789140297959044,"pow2(pow3(0.6809225895793405 + (((0.4074061379494574 / (-0.026314512977667057 - x1)) - (x1 * (x1 * (((((x1 * x1) * x1) * x1) * x1) * x1)))) * (x2 + -0.22419363963608482))))"
30,-3.416933607111705,"pow2(pow3(exp(-0.3715903442176167) + (((0.4143742379389697 / (-0.02583238577430122 - x1)) - ((x1 * x1) * (((x1 * (x1 * x1)) * (x1 * x1)) * x1))) * (x2 + -0.21672003705100695))))"
