Complexity,Loss,Equation
1,691.2398068057337,"0.8801260175929425"
2,688.6328665673657,"exp(x2)"
3,393.0792620073064,"2.519703464677284 / x1"
5,385.1383656293556,"2.519703464677284 / (x1 + 0.00013277808695404494)"
6,122.72212507817447,"exp(0.16259536617617382 / (0.01797551290532879 + x1))"
7,77.13870848937246,"0.055019951395526755 / (pow2(x1) + exp(-11.08810263168948))"
8,74.86390218699093,"log(1.0596897964115763) / (exp(-11.08810263168948) + pow2(x1))"
9,20.79603444066371,"exp(pow2(-0.5889247746191888 + x2) / (0.040384006986388964 + x1))"
10,19.71083890605408,"exp(pow2(-0.6005472047057652 + x2) / (pow2(0.20427255873947994) + x1))"
11,16.492548222843414,"exp(pow2(-0.8037936724629503 + x2) / (x1 + 0.058732131180042155)) * 0.08799029811291757"
13,16.32337658196078,"exp(pow2(-0.8037936724629503 + (x2 / 0.9481492330154134)) / (x1 + 0.058732131180042155)) * 0.08799029811291757"
14,14.862556917709941,"(exp(x2) + exp(pow2(-0.8037936724629503 + x2) / (0.058732131180042155 + x1))) * 0.08799029811291757"
15,14.249382475366238,"exp(pow2(-0.8037936724629503 + x2) / (x1 + 0.058732131180042155)) * (0.08799029811291757 + pow2(pow3(x1)))"
16,11.202471460868642,"0.08799029811291757 * (exp(pow3(log(x1))) + exp(pow2(x2 + -0.8037936724629503) / (0.058732131180042155 + x1)))"
17,8.372973566085108,"(pow2(exp(pow3(log(x2)))) + exp(pow2(-0.8037936724629503 + x2) / (0.058732131180042155 + x1))) * 0.08799029811291757"
18,-1.0569464934003128,"0.06410179468574428 * (pow3(exp(log(x1) * 19.64705772565198)) + exp(pow2(-0.8497426142022027 + x2) / (x1 + 0.06410179468574428)))"
20,-30.965597881165532,"exp(pow2(x2 + -0.824501319415601) / (0.05887548752412212 + x1)) * (exp(pow3(30.486186493703975 / log(x2 / 1.1687392622203805))) + 0.05303711790086581)"
21,-33.164883865029196,"pow2(exp(pow3(log(x2) / log(1.1687392622203805)) / x2)) + exp(pow2(-0.6005472047057652 + x2) / (pow2(0.20427255873947994) + x1))"
22,-37.05815684468712,"pow2(exp(pow3(log(x2) / log(1.1687392622203805)) / x2)) + (exp(pow2(-0.8037936724629503 + x2) / (0.058732131180042155 + x1)) * 0.08799029811291757)"
24,-39.60892643626942,"(pow2(exp(pow3((log(x2) + 0.058732131180042155) / log(1.1687392622203805)) / x2)) + exp(pow2(-0.8037936724629503 + x2) / (0.058732131180042155 + x1))) * 0.08799029811291757"
25,-39.63021131885276,"pow2(pow3(x1) * exp(pow3(log(x2) / log(1.1687392622203805)) / x2)) + (exp(pow2(-0.8037936724629503 + x2) / (0.058732131180042155 + x1)) * 0.08799029811291757)"
26,-40.325543266130055,"(pow2(x2 * exp(pow3((log(x2) + 0.058732131180042155) / log(1.1687392622203805)) / x2)) + exp(pow2(-0.8037936724629503 + x2) / (x1 + 0.058732131180042155))) * 0.08799029811291757"
27,-41.154886018765936,"((exp(x2 * 0.8449651394103654) * pow2(exp(pow3(log(x2) / log(1.1687392622203805)) / x2))) + exp(pow2(-0.8037936724629503 + x2) / (x1 + 0.058732131180042155))) * 0.08799029811291757"
29,-41.17803232026677,"(((exp(x2 * 0.8449651394103654) * pow2(exp(pow3(log(x2) / log(1.1687392622203805)) / x2))) + exp(pow2(-0.8037936724629503 + x2) / (x1 + 0.058732131180042155))) * 0.08799029811291757) + -0.20300423343871588"
30,-41.18024239184422,"(((exp(0.8449651394103654 * x2) * pow2(exp(pow3(log(x2) / log(1.1687392622203805)) / x2))) + exp(pow2(-0.8037936724629503 + x2) / (x1 + 0.058732131180042155))) - exp(x2)) * 0.08799029811291757"
