Complexity,Loss,Equation
1,68.4702373773814,"0.7526492134982219"
3,49.97653176050395,"0.5997221873758304 / x1"
5,36.75089529067782,"-1.0908024800794038 - pow3(log(x1))"
6,24.727320681429518,"pow2(log(pow3(x1 + x2)))"
7,16.5080634057319,"pow3(log(x2 + x1) * -1.5062372879550223)"
8,4.0423118860727865,"300.0391161061048 * exp((x1 + x2) * -16.44795014491131)"
9,1.915649544190921,"187.59035759824783 * exp(-102.1221032771272 * pow2(x2 + x1))"
10,0.40260628404258797,"exp(5.249407153100993 - (168.0805077686253 * (pow2(x2) + pow2(x1))))"
12,0.05787894060356964,"exp(5.253407040096052 - (193.48572013562995 * (pow2(x1) + (pow2(x2) * 0.7355982358506))))"
13,0.057836079020370745,"exp(5.253407040096052 - ((pow2(log(0.4244428154269925) * x2) + pow2(x1)) * 193.48572013562995))"
14,0.05687637360199275,"0.032824739721973674 + exp(5.253407040096052 - ((pow2(x1) + (pow2(x2) * 0.7355982358506)) * 193.48572013562995))"
15,0.056864588145071615,"exp(5.253407040096052 - ((pow2(log(0.4244428154269925) * x2) + pow2(x1)) * 193.48572013562995)) - -0.031241607442468348"
16,0.043151274523367686,"190.8844493974708 * exp(x2 - ((pow2(x1) + pow2(x2 / (1.0330267159919009 + x2))) * 193.39834572865234))"
18,0.03628740512400723,"exp((pow2(x1) + pow2(-0.006004024156233542 + (x2 / (x2 + 0.9930015975839367)))) * (0.5067326111486072 - 193.48572013562995)) * 188.4642756265334"
19,0.036274266687052914,"188.4642756265334 * exp((pow2(x1) + pow2(-0.006004024156233542 + (x2 / (x2 + 0.9930015975839367)))) * (log(1.4668690800632336) - 193.48572013562995))"
20,0.0350817883103043,"exp((pow2((-0.006004024156233542 + x2) / (0.9930015975839367 + (1.1044604247454053 * x2))) + pow2(x1)) * (x1 - 193.48572013562995)) * 188.4642756265334"
22,0.02636401996523578,"exp((pow2(x1) + pow2(((x2 / (x2 + 0.9120082065853475)) / (x2 + 0.9120082065853475)) + -0.01190601755343596)) * (x1 - 192.5680162893083)) * 187.82256181447903"
23,0.026354341100985806,"exp(pow3(x2) - (192.5680162893083 * (pow2(x1) + pow2(((x2 / (0.9120082062753172 + x2)) / (0.9120082065853475 + x2)) + -0.01190601755343596)))) * 187.82256181447903"
24,0.025910482667137615,"(exp((pow2(x1) + pow2(-0.01190601755343596 + ((x2 / (0.9120082065853475 + x2)) / (x2 + 0.9120082062753172)))) * (x2 - 192.5680162893083)) * 187.82256181447903) - -0.02125013418271555"
26,0.025905799686848013,"(187.82256181447903 * exp((pow2(x1) + pow2(-0.01190601755343596 + ((x2 / (x2 + 0.9120082062753172)) / (x2 + 0.9120082065853475)))) * ((x2 + x2) - 192.5680162893083))) - -0.02125013418271555"
30,0.025564092643033404,"exp(x2 - (16.619295883217738 * ((x1 * (11.646690000272375 * x1)) + pow2(x2 * (x2 - 3.1664887175897314))))) * (192.1770625483494 + pow3(pow2(x2 * 16.548124566131985) - pow2(x1 + -1.2403418794856351)))"
