Complexity,Loss,Equation
1,68.52285365784871,"0.7527521782442452"
3,50.17775010890952,"0.6043391158330919 / x1"
4,50.177740837478396,"exp(-0.5052067166799751) / x1"
5,36.928673893491,"-1.1049779968293936 - pow3(log(x1))"
6,24.85587148155152,"pow2(log(pow3(x1 + x2)))"
7,16.32664847531487,"pow3(log(x2 + x1)) / -0.28522988636627383"
8,3.982300751856052,"exp(5.721271706083989 - (16.510373631895018 * (x2 + x1)))"
9,1.8840152987943946,"exp(5.236298656655979 - pow2((x1 + x2) * 10.092722438416079))"
10,0.4009667311784374,"190.58443661066377 * exp(-168.02742556880415 * (pow2(x1) + pow2(x2)))"
12,0.05736262502325785,"exp((pow2(x1) + pow2(-0.8571941527442652 * x2)) * -193.2828649137387) * 191.20479672175787"
14,0.05640618110416635,"0.030723077261696645 + (191.20479672175787 * exp(-193.2828649137387 * (pow2(x2 * 0.8573470268127876) + pow2(x1))))"
15,0.054988395453744066,"exp(-192.06466592930002 * (pow2(x1) + pow2(0.8660514922049721 * x2))) * (log(x2) + 194.86328062519277)"
16,0.05481703914326456,"(194.86328062519277 + log(x2)) * exp(-192.06466592930002 * (pow2(x1) + (pow2(x2) * pow2(-0.8651547175505152))))"
17,0.03963390571366787,"exp(-192.06235785896038 * (pow2(x1) + (pow2(x2) * 0.8193386523715877))) * (exp(x2 / 0.029070812053002437) + 190.9480148325307)"
18,0.03882258476691732,"(192.01547962021172 + pow3(pow2(x2 / 0.06846697502924025))) * exp((pow2(x2 * 0.8764197433742306) + pow2(x1)) * -192.0898328025917)"
20,0.03395024128282397,"exp(-192.06235785896038 * (pow2(x1) + (pow2(x2) * 0.8193386523715877))) * (exp(x2 / 0.029070812053002437) + (194.86328062519277 + log(x2)))"
22,0.02669572279640964,"exp(-193.0906990704658 * (pow2(x1) + pow2(0.9052233147422842 * x2))) * (189.25597874104943 + (x2 * (pow2(pow3(x2 / -0.04561857787467843)) + 197.3621895540465)))"
24,0.026245659455140836,"((189.25597874104943 + (x2 * (pow3(pow2(x2 / -0.04561857787467843)) + 197.3621895540465))) * exp(-193.0906990704658 * (pow2(0.9052233147422842 * x2) + pow2(x1)))) - -0.020194650720682408"
26,0.024416837604370308,"((log(pow2(x2)) + 197.46255475490273) + (x2 * (pow2(pow3(x2 / -0.04368614241174506)) + 197.46255475490273))) * exp(-191.8438256730673 * (pow2(x1) + pow2(x2 * -0.9201905768356121)))"
27,0.023357355625878637,"exp(-192.09736434462917 * (pow2(x1) + pow2(x2 * 0.9147110030606461))) * ((log(x1 * x2) + 197.3621895540465) + (x2 * (pow2(pow3(x2 / -0.044803288067373596)) + 197.3621895540465)))"
28,0.023357355625878633,"(((x2 * (pow2(pow3(x2 / -0.044803288067373596)) + 197.3621895540465)) + 197.3621895540465) + (log(x2) + log(x1))) * exp(-192.09736434462917 * (pow2(x2 * 0.9147110030606461) + pow2(x1)))"
29,0.023009249398582284,"(exp(-192.09736434462917 * (pow2(x2 * 0.9147110030606461) + pow2(x1))) * (log(x1 * x2) + (197.3621895540465 + ((pow3(pow2(x2 / -0.044803288067373596)) + 197.3621895540465) * x2)))) - -0.023672931274174344"
