Complexity,Loss,Equation
1,760.3477896112512,"0.8232939321886866"
3,432.03346730172757,"2.5176035624677393 / x1"
5,382.68879051284046,"(2.926621566313144 / x1) - 7.4314593858638425"
6,88.1149269404341,"pow3(0.14702201663456974 / (0.008073769615363137 + x1))"
7,87.56044504510558,"pow3(pow2(0.37895485338659385) / (0.00799370425352958 + x1))"
8,24.374063285236502,"exp((0.34360358496655236 - x2) / (0.039865321056454496 + x1))"
9,24.357450587576626,"exp((pow2(-0.5860834137923406) - x2) / (0.039865321056454496 + x1))"
10,20.169438974405548,"exp((0.3872443520560925 / (0.04514321273788228 + x1)) - (x2 / 0.04059542333484841))"
11,19.912643169298335,"exp((pow2(0.6081025406734031) / (x1 + 0.043141535556721206)) - (x2 / 0.043205461599906014))"
12,17.892705418102953,"exp((0.35388821808569476 - x2) / (x1 + 0.04064429495401936)) - (0.5336348083190697 / x1)"
13,17.88851895918368,"exp((0.35388821808569476 - x2) / (0.04064429495401936 + x1)) - (pow2(-0.7364618949120744) / x1)"
14,15.985758658853468,"exp((0.350282912128613 - x2) / (x1 + 0.040138998051512755)) - ((0.6782359131963683 - x2) / x1)"
15,15.5853678388607,"exp((0.350282912128613 - x2) / (x1 + 0.040138998051512755)) - (pow2(0.8473857498833401 - x2) / x1)"
16,14.921214284456024,"(exp((0.34224836716214735 - x2) / (0.038976026799193764 + x1)) - (0.8237963951625822 / x1)) + pow2(log(x1))"
17,14.921189460924532,"(pow2(log(x1)) - (log(2.279606880589259) / x1)) + exp((0.34224836716214735 - x2) / (0.038976026799193764 + x1))"
18,14.13855476027098,"(exp((0.3331059137949891 - x2) / (0.0375700958020037 + x1)) - (1.204780631767537 / x1)) + pow2(1.4894302273983717 * log(x1))"
19,14.117653973205577,"(exp((0.3331059137949891 - x2) / (pow3(0.3350181802667974) + x1)) + pow2(log(x1) * 1.4894302273983717)) - (1.204780631767537 / x1)"
20,13.896002402104127,"pow2(log(x1) * 1.452827865018205) + ((exp((0.3331059137949891 - x2) / (0.0375700958020037 + x1)) - (1.204780631767537 / x1)) + x2)"
21,13.892152305094095,"(pow2(-1.4576338106488216 * log(x1)) + pow2(x2)) + (exp((0.3331059137949891 - x2) / (0.0375700958020037 + x1)) - (1.204780631767537 / x1))"
22,13.794362876373228,"(pow2(log(x1) * (1.5384912550986418 - x1)) + (x2 + exp((0.3331059137949891 - x2) / (0.0375700958020037 + x1)))) - (1.204780631767537 / x1)"
23,13.764002604256403,"exp(((0.34224836716214735 - x2) - pow2(x2 + x1)) / (x1 + 0.038976026799193764)) + ((0.975223519322758 / (x1 + 0.0071105957934506055)) - (0.9841974852283635 / x1))"
24,13.745493372994195,"(pow2(log(x1) * (1.5384912550986418 - x1)) + ((x2 / 0.7801415848724731) + exp((0.3331059137949891 - x2) / (0.0375700958020037 + x1)))) - (1.204780631767537 / x1)"
25,13.61222770959805,"(1.0279077975823396 / (x1 + 0.0071105957934506055)) + (exp(((0.34224836716214735 - x2) - pow2(x1 + (x2 + x1))) / (x1 + 0.038976026799193764)) - (0.975223519322758 / x1))"
26,13.59311833419691,"(1.0279077975823396 / (x1 + pow2(0.08131048494207241))) + (exp(((0.34224836716214735 - x2) - pow2(x2 + (x1 + x1))) / (0.038976026799193764 + x1)) - (0.975223519322758 / x1))"
27,13.589682703060959,"(exp(x1 + (((0.34224836716214735 - x2) - pow2(x2 + (x1 + x1))) / (0.038976026799193764 + x1))) + (1.0108773386280032 / (x1 + 0.0071105957934506055))) - (0.975223519322758 / x1)"
28,13.581871715994343,"(exp(((0.34227119828661823 - x2) - pow2((x2 + x1) + x1)) / (0.038976026799193764 + x1)) + (exp(0.05261350543720652) / (0.0071105957934506055 + x1))) - ((0.9841974852283635 / x1) + 0.13830959499331022)"
29,13.57814423974792,"(((exp(0.048972140462300674) / (x1 + 0.0071105957934506055)) - (0.9841974852283635 / x1)) / exp(x2)) + exp(((0.34224836716214735 - x2) - pow2(x1 + (x1 + x2))) / (x1 + 0.038976026799193764))"
30,13.51233961721575,"((exp(0.038976026799193764) / (x1 + pow3(0.1569486106821496))) + (exp(((0.34224836716214735 - pow2(x2 + (x1 + x1))) - x2) / (x1 + 0.038976026799193764)) - (0.9841974852283635 / x1))) / exp(x2)"
