Complexity,Loss,Equation
1,760.3637874861486,"0.8801137496157823"
2,757.4961532241024,"exp(x2)"
3,432.3893431271202,"2.525150154854746 / x1"
4,432.38712685601524,"exp(0.9237334047853073) / x1"
5,392.6612583083407,"-7.598547703615941 - (-2.9225261550635713 / x1)"
6,89.72016211349712,"pow3(0.14924726836343927 / (x1 + 0.00836235811800397))"
8,24.905089292332164,"exp((0.34363270518580363 - x2) / (0.040055479894147324 + x1))"
9,21.35616176523679,"exp(pow2(0.6070322975075468 - x2) / (x1 + 0.04288110557388931))"
10,21.015867541741294,"exp(((0.34363270518580363 - x2) / (0.040055479894147324 + x1)) + x2)"
11,18.384986377851305,"exp((pow2(x2 - 0.8047917711622791) / (x1 + 0.05958827470367815)) - 2.3102468946936865)"
12,18.260756752152272,"(-0.4802492779742032 / x1) + exp((0.34153652620759284 - x2) / (0.03914340179946716 + x1))"
13,17.798735100174913,"exp(((pow2(0.8321969127215921 - x2) / (0.07332988490698861 + x1)) - 2.8415581187267214) * 1.2912367271991285)"
14,12.783148453022568,"(-0.5361464834994913 / x1) + exp(x2 + ((0.34153652620759284 - x2) / (x1 + 0.03914340179946716)))"
15,12.783148453022557,"(-0.5361464834994913 / x1) + (exp(x2) * exp((0.34153652620759284 - x2) / (x1 + 0.03914340179946716)))"
16,11.77821101547566,"(-0.5361464834994913 / x1) + exp(((0.34153652620759284 - x2) / (x1 + 0.03914340179946716)) + (1.206334675178065 * x2))"
17,11.204431010755727,"(-0.5361464834994913 / x1) + (exp(x2 * 1.3339449180525804) * exp((0.34153652620759284 - x2) / (0.03914340179946716 + x1)))"
18,-8.909473604398727,"pow3((exp(log(x2) / 0.029653127398609886) - -0.24918890678839017) / (exp(-4.225282995110374) + (x1 + (pow2(x2) * 6.996038753899019))))"
19,-9.060239833718555,"pow3((exp(log(x2) / 0.029653127398609886) - -0.24918890678839017) / (((pow2(x2) * exp(1.993974402458415)) + exp(-4.225282995110374)) + x1))"
20,-20.053975775077543,"0.05456358831096285 * pow3((0.6106001933480987 + exp(log(x2) / 0.025171125175023346)) / ((exp(-4.309051402762609) + pow2(x2 * 2.377179238069456)) + x1))"
21,-20.222373194667647,"pow2(-0.23201168883194997) * pow3((0.6106001933480987 + exp(log(x2) / 0.025171125175023346)) / ((exp(-4.309051402762609) + pow2(-2.3465737255085486 * x2)) + x1))"
22,-21.890108055444227,"pow3((0.6106001933480987 + exp(log(x2) / 0.025171125175023346)) / ((pow2(x1 + (x2 * 2.0027008876139374)) + x1) + exp(-4.309051402762609))) * 0.05456358831096285"
23,-32.9418742356728,"pow3(((exp(log(pow2((x2 * x2) + -0.23086793233806308)) / 0.05736300249763758) - x2) - -0.2535317503660035) / (exp(x2) * (x1 + exp(-4.175163428658502))))"
24,-40.238115496651844,"pow3((exp(log(pow2(-0.16878454868643336 + x2)) / pow2(-0.16878454868643336)) - -0.2610440863940666) / ((pow2(x2 * -2.618146670166405) + exp(-4.175163428658502 + x2)) + x1))"
25,-41.54915077536593,"pow3(((exp(log(pow2(-0.8297506077663884 + (x2 * x2))) / 0.05736300249763758) - -0.2537038807824688) - x2) / (x1 + (pow2(x2) + exp(x2 + -4.175163428658502))))"
26,-48.37411666707504,"pow3((exp(log(pow2(x2 + -0.16878454868643336)) / pow2(0.16855966336610279)) - -0.2610440863940666) / ((exp(-4.175163428658502 + x2) + x1) + pow2((x1 + x2) * 2.0038172465746)))"
28,-48.52263228240438,"pow3((exp(log(pow2(x2 + -0.16878454868643336)) / pow2(0.16855966336610279)) - -0.2610440863940666) / (x1 + (pow2((x1 + x2) * (x2 - 2.0783436260656)) + exp(x2 + -4.175163428658502))))"
29,-48.61094873298643,"pow3((exp((log(pow2((-0.373843682713828 + x2) * x2)) - -0.27935249656578487) / 0.05766127123274295) - -0.2610440863940666) / ((exp(-4.175163428658502 + x2) + x1) + pow2(2.0038172465746 * (x1 + x2))))"
30,-48.80895907183512,"pow3((exp(log(pow2(x2 + -0.16878454868643336)) / pow2(0.16855966336610279)) - -0.2610440863940666) / ((x1 + pow2((x2 + x1) * ((x2 + x2) - 2.0783436260656))) + exp(x2 + -4.175163428658502)))"
