Complexity,Loss,Equation
1,0.7355896647351597,"0.1508056412090513"
2,0.7355896641637896,"pow2(0.38836825607381914)"
6,0.7264364591690584,"x1 / (pow2(x1) - -6.560340036952618)"
7,0.6617921103868518,"1.111574265622513 / exp(pow2(-4.0040949112577 - x2))"
8,0.6588771817327166,"1.0474322867635042 / (1.0474322867635042 + pow2(3.994484544828738 + x2))"
9,0.5957157305008546,"1.4592110953684863 / exp(pow2((-8.002147257401631 + x1) - x2))"
11,0.5929546194737708,"1.6540170808492436 / exp(pow2(((-7.4440115175397406 - x2) / 0.8369873168430328) + x1))"
12,0.18946982487605868,"9.614796489059298 / exp(pow2(x2 - -4.0040949112577) + pow2(-4.0040949112577 + x1))"
13,0.18068658851932964,"15.182667530704972 / (exp(pow2(x1 + -4.031262232555815)) + exp(pow2(-4.031262232555815 - x2)))"
14,0.06309774687756399,"10.574938758782604 / exp(pow2(-4.0040949112577 - x2) + pow2((x1 + -8.002558865888853) - x2))"
16,0.0032862124681555024,"9.614796489059298 / exp((pow2(x2 + x1) / 7.211457686859292) + pow2(x2 - (-8.002313472662356 + x1)))"
17,0.003283252202049636,"pow2(-3.0980907690341706) / exp((pow2(x2 + x1) / 7.233503954535396) + pow2(x1 + (-8.002313472662356 - x2)))"
18,0.00017946575984571412,"10.047691482078001 / exp(pow2(((x1 - x2) + -8.002313472662356) / 0.9136935772221845) + (pow2(x1 + x2) / 7.240810905702655))"
19,0.00017931593610724257,"pow2(-3.17141834446361) / exp((pow2(x1 + x2) / 7.233503954535396) + pow2(((-8.002313472662356 - x2) + x1) / 0.9134661924508223))"
20,0.00017922795580158914,"(10.047691482078001 - -0.006762994645190274) / exp((pow2(x1 + x2) / 7.233503954535396) + pow2(((-8.002313472662356 - x2) + x1) / 0.9134661924508223))"
21,0.00017916919226658844,"pow2(-3.170023190310579) / exp((pow2((x1 - 0.001546104454226426) + x2) / 7.233503954535396) + pow2((x1 + (-8.002313472662356 - x2)) / 0.9136935772221845))"
