Complexity,Loss,Equation
1,0.6459181274048429,"0.13353131139388197"
2,0.6459181272462572,"pow2(-0.36542688537507617)"
3,0.6459181271356207,"pow2(pow3(0.7149413459846815))"
5,0.6459181271147032,"pow2(-0.36542688537507617 - pow3(0.026666557631729104))"
6,0.6365975389699858,"0.24487967126076696 - pow2(x2 * 0.04750132657271141)"
7,0.6052002865665895,"exp(pow2(x2 + x1) * -0.2257331054145298)"
9,0.47844243292432587,"exp(0.6913077510938916 - pow2((15.200979643710074 / x1) + x2))"
11,0.43724644601280216,"exp(0.906081862042125 - pow2(0.2540557045317164 * ((x1 * x2) + 15.725759303092747)))"
13,0.39733184156451823,"exp(1.1365377078579229 - pow2(((15.07816216642454 / x1) + x2) * (x2 + x1)))"
14,0.2355151517487695,"exp((2.530888483786034 - pow2(x1 + x2)) - pow2(x2 + (15.721120332269852 / x1)))"
15,0.15827920709266094,"exp(((45.62620868297212 - pow2(x2)) / pow2(x1)) - pow2((16.535485880217664 / x1) + x2))"
16,0.030627325252205503,"exp(((14.64275880031468 - pow2(x1 + x2)) / 6.490028871430917) - pow2(x2 + (15.418757217005325 / x1)))"
18,0.018362919876312337,"exp(((15.59550613383113 - pow2(x2 + x1)) / 6.80294128062116) - pow2(0.2686445027182694 * ((x1 * x2) + 15.743808464192252)))"
20,0.018351859840025627,"exp(((15.59550613383113 - pow2(x2 + x1)) / 6.80294128062116) - pow2(0.2686445027182694 * (15.743808464192252 + (x1 * x2)))) - -0.005166463736320211"
21,0.01834918711332705,"exp(((15.59550613383113 - pow2(x2 + x1)) / 6.80294128062116) - (pow2((x1 * x2) + 15.743808464192252) * pow2(-0.26894171433844))) - -0.0037903119615512316"
22,0.018346660937187075,"exp(((15.584129713847323 - pow2(x2 + x1)) / 6.80294128062116) - (pow2(pow3(-0.645165995734375)) * pow2(15.743808464192252 + (x2 * x1)))) + 0.00405329855993788"
23,0.018140486567207466,"exp(((15.59550613383113 - pow2(x1 + (x2 + (1.3765820714873487 / pow3(x1))))) / 6.80294128062116) - pow2(0.2686445027182694 * (15.743808464192252 + (x1 * x2))))"
24,0.018130007808292447,"exp(((15.59550613383113 - pow2((x1 + pow3(1.1888764494620834 / x1)) + x2)) / 6.80294128062116) - (pow2((x1 * x2) + 15.743808464192252) * pow2(-0.26894171433844)))"
26,0.01809766303624799,"exp(((15.59550613383113 - pow2((1.9346374047449677 / pow3(x1)) + (x2 + x1))) / 6.80294128062116) - (pow2(15.743808464192252 + (x1 * x2)) * pow2(-0.26894171433844))) * 0.9921580188625161"
27,0.01807012630753338,"exp((2.2851711269707327 - pow2(((-0.12883697607481281 * x1) + (-2.029166646630179 / x2)) / (-0.4807697723683896 / x2))) + (-0.14746920833700367 * pow2(x1 + (x2 + (1.9313944986593679 / pow3(x1))))))"
28,0.0011452928969340425,"exp(((pow2(x1 + x2) - (pow2((x1 * x2) + (16.128359318259506 - ((x2 + x1) * ((x1 + x2) * 0.24994034473969948)))) * -0.5289383967441817)) * -0.13898934812694494) + 2.2931734595129143)"
29,0.001109077761166457,"exp(2.2931328464373237 + ((pow2(x1 + x2) - (pow2(((x2 * x1) - ((0.23706772782480787 * (x2 + x1)) * (x2 + x1))) + 16.12896976169819) * pow3(-0.8175338278555421))) * -0.13679727492656368))"
30,0.0010995659091978948,"exp(((pow2(x1 + x2) - (pow2((((x1 + x2) * (x1 + x2)) * -0.2493259167279874) - (-0.20359705369057102 - (15.948746495380455 + (x2 * x1)))) * -0.554791030680854)) * -0.1358219484467561) + 2.2884818089137635)"
31,0.0010955482074694405,"exp(2.2884818089137635 + ((pow2(x2 + x1) - (pow2(((x1 + x2) * (-0.2493259167279874 * (x1 + x2))) - (-0.20359705369057102 - (15.948746495380455 + (x2 * x1)))) * -0.554791030680854)) * log(0.8732800708142321)))"
32,0.0010683200937788284,"exp(2.2884818089137635 + ((pow2(x1 + x2) - (pow2(((x1 + x2) * ((x1 + x2) * -0.2493259167279874)) - (-0.20359705369057102 - (15.948746495380455 + (x2 * x1)))) * -0.554791030680854)) * -0.1358219484467561)) / 0.9933799499552707"
34,0.00106248304408879,"exp(((0.9974133523873704 * 2.2884818089137635) + ((pow2(x1 + x2) - (pow2(((x2 + x1) * (-0.2493259167279874 * (x1 + x2))) - (-0.20359705369057102 - (15.948746495380455 + (x2 * x1)))) * -0.554791030680854)) * -0.1358219484467561)) / 0.9933799499552707)"
37,0.0010558863453999276,"exp(2.297719557957048 + (-0.1385514768386887 * (pow2(x2 + x1) - (pow2((log(1.3679897553246045) * ((x2 + x1) * (x2 + x1))) - ((((x1 * -0.1351005425469437) + (-2.183069936172276 / x2)) * x2) / -0.10675970679108836)) * (0.5235379515616932 * -0.6454144228438795)))))"
38,0.001053109999343464,"exp(2.300889570627668 + (-0.1385514768386887 * (pow2(x1 + x2) - (pow2(((x2 * ((x1 * -0.1351005425469437) + (-2.183069936172276 / x2))) / -0.10675970679108836) - ((((x2 + x1) * -0.6090651114307051) * (x2 + x1)) / -1.9359789976002408)) * (-1.2868093963846419 - -0.9472112889133129)))))"
39,0.0010520290008818314,"exp(2.300889570627668 + ((pow2(x1 + x2) - (pow2(((x2 * ((x1 * -0.1351005425469437) + (-2.183069936172276 / x2))) / -0.10675970679108836) - ((((x2 + x1) * (x2 + x1)) * -0.6090651114307051) / log(0.14723756334102878))) * (-1.2868093963846419 - -0.9472112889133129))) * -0.1385514768386887))"
40,0.0010513749129801725,"exp(2.300889570627668 + (-0.1385514768386887 * (pow2(x1 + x2) - (pow2((x2 * ((((x1 * -0.1351005425469437) + (-2.183069936172276 / x2)) / -0.10675970679108836) + -0.0029610918324931854)) - ((((x1 + x2) / -1.9359789976002408) * -0.6090651114307051) * (x2 + x1))) * (-1.2868093963846419 - -0.9472112889133129)))))"
41,0.0010510448507709065,"exp(2.300889570627668 + (-0.1385514768386887 * (pow2(x2 + x1) - ((-1.2868093963846419 - -0.9472112889133129) * pow2((((x2 + x1) * (-0.6090651114307051 * (x1 + x2))) / -1.9359789976002408) - ((pow3(-0.1351005425469437) + (((-2.183069936172276 / x2) + (x1 * -0.1351005425469437)) / -0.10675970679108836)) * x2))))))"
