Complexity,Loss,Equation
1,4.988368492674873,"4.031955709008484"
3,4.356339432399615,"4.5248664081914525 - x2"
4,2.8023542106400456,"pow3(2.0511136840333504 - x2)"
5,2.4339238685319073,"pow3(1.8557421747693326 - pow2(x2))"
6,1.8251164617697293,"pow2((x1 - 2.899008495207475) + x2)"
7,1.099916992715947,"8.555782305258365 - pow2(exp(x2) + x1)"
8,0.7894854442900339,"pow2(x1 - exp(1.0401395777058358 - pow3(x2)))"
9,0.7282709873370077,"pow2((1.1876291359974003 - pow3(x2)) * (2.4004062945621953 - x1))"
10,0.6563951913507463,"pow2((3.9323179488058653 - exp(x1)) * (1.0020448309390182 - pow3(x2)))"
11,0.39371236967084616,"2.294986530160269 * (pow2(exp(x2) - 3.304626213469016) - (x1 / x2))"
12,0.21915574860401174,"exp(pow2(1.5116672522700694 - pow3(x2))) - ((x1 * 2.373411833438327) / x2)"
13,0.13830387928008944,"2.4936984910562052 * (pow2(exp(x2) - 3.341876756522665) - ((x1 + 0.08595707489044263) / x2))"
15,0.0564537925611205,"(pow2(3.3620128989142937 - exp(x2)) - ((x1 - -0.38609624246041396) / (0.07112499223143802 + x2))) * 3.113781831887903"
16,0.056408302772772506,"3.0844053969373224 * (pow2(3.3663430532286753 - exp(x2)) - ((x1 - pow3(-0.7286577045609489)) / (x2 + 0.07145658076509807)))"
17,0.032589521759353667,"(3.338846973630361 - x2) * (pow2(exp(x2) - 3.420773077752239) - ((x1 - -0.43613101727987835) / (0.06874363465017364 + x2)))"
18,0.03256535788176212,"(3.3631728207216955 - x2) * (pow2(3.4170033928780743 - exp(x2)) - ((x1 - pow3(-0.7581253725879935)) / (x2 + 0.06874718016704155)))"
19,0.03122704758088613,"((0.10639402931907109 + pow2(exp(x2) - 3.385359632513345)) - ((x1 - -0.4684447474600482) / (0.07745698127745257 + x2))) * (3.447674018857889 - x2)"
20,0.02947978370470211,"((pow2(3.3178433653848085 - exp(x2)) - ((x1 - -0.5623987343395139) / (0.09739726047181071 + x2))) - -0.3798541737954807) * (4.707706875854689 - exp(x2))"
21,0.02941972651588102,"(log(x2) - (x1 * -0.1342354483862598)) * (1.159889362644591 - (((-0.4238074994917621 * x1) + ((0.6802115543807283 - log(x2)) * x2)) / 0.06141007639491188))"
22,0.02729561952269796,"((1.149568694921383 - (pow2(x1) + ((((0.6582709029600555 - log(x2)) * x2) + (-0.432542828774039 * x1)) / 0.06059834172165926))) * log(x2)) - x1"
23,0.02586400556678086,"(pow2((pow3(0.0053795489190263624 / x1) - 3.4171653903941945) + exp(x2)) - ((x1 - -0.4371015586935601) / (x2 + pow3(0.40929324424579344)))) * (3.381730050042022 - x2)"
24,0.02586400556678085,"(3.381730050042022 - x2) * (pow2((exp(x2) - 3.4171653903941945) + (pow3(0.0053795489190263624) / pow3(x1))) - ((x1 - -0.4371015586935601) / (pow3(0.40929324424579344) + x2)))"
25,0.024076957565363058,"(3.4772454019675623 - x2) * ((0.12248625069646071 - ((x1 - -0.4694914448662506) / (x2 + pow3(0.42914641677812754)))) + pow2(3.374842181939411 - (pow3(0.005302643274667161 / x1) + exp(x2))))"
27,0.021720357226274807,"(((1.1220132826007176 - (pow2(x1) + (((-0.43687052217397443 * x1) + (x2 * (0.6559171328401856 - log(x2)))) / 0.06026940531081342))) * log(x2)) - x1) - pow3(0.011391147648761061 / x1)"
28,0.020453549294651787,"((1.0828061056311384 - (pow2(x1) + ((((0.659765163778649 - log(x2)) * x2) + (-0.4380933452414591 * x1)) / pow3(0.39337215657915503)))) * log(pow3(0.004137072753540141 / x1) + x2)) - x1"
29,0.020294671343724344,"(log(pow3(pow2(-0.06522127310222463) / x1) + x2) * (1.1285220214444351 - (pow3(x1) + (((-0.42380153859746744 * x1) + (x2 * (0.6541260632645407 - log(x2)))) / pow3(0.39209712736258856))))) - x1"
30,0.01960463099469956,"(log(x2 + pow3(0.004262744638514663 / x1)) * (1.0580389915667514 - (pow2(x1 * 1.2620113510711535) + ((((0.656401648513657 - log(x2)) * x2) + (-0.4663392729678483 * x1)) / pow3(0.3923154638364956))))) - x1"
