Complexity,Loss,Equation
1,4.551357389490386,"4.009402833097119"
2,4.551357386868845,"exp(1.3886262916750127)"
3,3.8878370617603353,"4.502148428283847 - x2"
4,2.1043762632539624,"pow3(2.050920839788502 - x2)"
5,1.8056873150824226,"pow3(1.8549604992460862 - pow2(x2))"
6,1.62187251380939,"pow2(x1 + (x2 + -2.8898579630253054))"
7,0.8535922498926005,"8.533188941247719 - pow2(x1 + exp(x2))"
8,0.5576107574741346,"pow2(x1 - exp(1.0377451059039393 - pow3(x2)))"
9,0.4902920324622861,"pow2(x1 - ((1.0879609325168886 - pow3(x2)) * 2.6046252402975805))"
11,0.31076383672234,"exp((1.9516040331238762 + (x2 - x1)) - (4.256935084235291 * pow3(x2)))"
12,0.2705845815605941,"log(x2) + exp((2.3909197711451444 - pow3(1.4379259535677793 * x2)) - x1)"
13,0.13904830319299868,"exp((2.3865282926460583 - x1) - pow3(x2 * 1.4385611970126058)) + (-0.2830549466220359 / x2)"
15,0.0721068081237002,"pow2(3.6955373514160432 * (x2 - 1.0800353158947)) * (x2 + (exp(-0.060369369215411285 / x2) - x1))"
16,0.041095433758617086,"(((-0.4976915974201023 / (x2 + 0.24259122680988268)) + 2.110481274530459) - x1) * pow2((1.1078677371690835 - x2) * 3.440305888080224)"
18,0.04083897631207441,"(pow2((1.1312650169543224 - x2) * 3.332100086986995) * (((-0.48341891591930386 / (x2 + 0.23493172285595895)) + 2.1238627564220076) - x1)) + -0.16416370959087068"
19,0.031050441600599867,"(log((3.646399271742495 + (-0.9989168768095387 / (0.38472875811081103 + x2))) - x1) * pow2(-3.989767937502758 * (1.1480569931415592 - x2))) - x1"
20,0.031049894484317678,"(log((3.646399271742495 + (-0.9989168768095387 / (0.38472875811081103 + x2))) - x1) * pow2((1.1480569931415592 - x2) * exp(1.383811739239944))) - x1"
21,0.0309093991421069,"(log(((-1.1185150836131577 / (x2 + 0.3781112222973958)) - (x1 * 1.1505159830162488)) + 3.996510511938212) * pow2(-3.782257873826268 * (x2 - 1.1556046905732222))) - x1"
22,0.030903474230458233,"(log(((-1.1185150836131577 / (x2 + 0.3781112222973958)) - (x1 * 1.1505159830162488)) + 3.996510511938212) * pow2(pow3(1.5581168978627986) * (x2 - 1.1556046905732222))) - x1"
23,0.030794403426397395,"(log(((-1.1185150836131577 / ((x2 - -0.0008723127253399632) + 0.3781112222973958)) + 3.996510511938212) - (x1 * 1.1505159830162488)) * pow2(-3.782257873826268 * (1.1556046905732222 - x2))) - x1"
25,0.029629492389844733,"(log(((-0.9839967848276003 / (0.37640926363097166 + x2)) + (2.9156348098890326 - x1)) + exp(-0.3181873599779477)) * (pow2((1.149517915373729 - x2) * 3.760644294488139) - log(x2))) - x1"
26,0.028188639088714204,"(log(((-1.0630210355819005 / (x2 + 0.3871745567561284)) - x1) + (exp(-0.279050522360175) + 2.983966191108834)) * (pow2((1.1393086963254777 - x2) * -3.3074858299923515) - log(pow3(x2)))) - x1"
28,0.028157156350425514,"(log(((3.0031005042022203 + (-1.083294920634772 / (x2 + 0.3912567744648528))) + exp(-0.264614114720269)) - x1) * (pow2(-3.2692133012506566 * (x2 - 1.1629575677172974)) - log(pow3(x2)))) + (-0.1851612627991785 - x1)"
29,0.028052215368834038,"(log(exp(-0.2844108531920196) + (((-1.0527620628345085 / (0.3845866982038536 + x2)) - x1) + 2.9763815008866294)) * (pow2(-3.2877832583181705 * (1.1537331148063341 - x2)) - (exp(-2.1934908672828572) + log(pow3(x2))))) - x1"
