Complexity,Loss,Equation
1,3.0679573029185634,"3.6465726759300026"
4,1.733356753297315,"2.5646905428095716 + pow2(x1)"
5,1.7333567140290522,"pow2(x1) - log(0.07698954400773213)"
6,1.2506650727117286,"2.4754652819166427 + pow2(x2 * x1)"
7,0.414858660967624,"(1.482192451544824 + pow2(x2)) + pow2(x1)"
9,0.333811097879799,"((pow2(x1) + pow2(x2)) * 1.2074567860861098) + 1.0334082955177903"
11,0.33379519745763736,"((pow2(x1) * 1.2099141255344779) + pow2(x2 / -0.9129180700530758)) + 1.0380594507565866"
12,0.3302057282626057,"cos(x1) + (pow2(x1 / -0.7832019885412678) + (pow2(x2) / 0.81609368192873))"
13,0.32743319968596907,"1.1641268673994276 * ((pow2(x1) + pow2(x2)) + cos(sin(0.04767090177178597 / x1)))"
14,0.24378004461501468,"(cos(x2 / -0.10607359769559617) * -0.5803952870338226) + (pow2(x1) + (pow2(x2) - -1.4516403042789439))"
15,0.2437758391077843,"((cos(x2 / -0.10607359769559617) * -0.5803952870338226) + pow2(x1)) + (pow2(x2) + exp(0.37168233767717335))"
16,0.18974636998105215,"1.1674194904793267 * (pow2(x2) + ((pow2(x1) + (cos(x2 / -0.10612521629479976) * -0.4679830679863989)) + 0.9286857741462606))"
17,0.18972197938742155,"1.1674194904793267 * ((cos(x2 / -0.10612521629479976) * -0.4679830679863989) + (pow2(x2) + (pow2(x1) + cos(0.3679967760124529))))"
18,0.18496425704559388,"1.1674194904793267 * (0.9286857741462606 + ((pow2(x1) + pow2(x2)) + (-0.4679830679863989 * cos((-1.352737214384767 - x2) / -0.10612521629479976))))"
19,0.0756765480891868,"pow2(x2) + ((pow2(x1) + 1.4188361458841574) + ((cos(x1 / 0.10612914669636779) + cos(x2 / -0.10607359769559617)) * -0.5803952870338226))"
20,0.07567509088760722,"((pow2(x2) + ((cos(x1 / 0.10612914669636779) + cos(x2 / -0.10607359769559617)) * -0.5803952870338226)) + pow2(x1)) + exp(0.3495529805795451)"
21,0.04322449764519012,"(1.1332522867230201 * (pow2(x1) + (pow2(x2) + ((cos(x2 / 0.1061341418008926) + cos(x1 / -0.10623634376529953)) * -0.4817712685903021)))) + 1.1332522867230201"
22,0.043223951326824356,"1.1332522867230201 * (cos(-0.036370874571851036) + (pow2(x2) + (((cos(x2 / 0.1061341418008926) + cos(x1 / -0.10623634376529953)) * -0.4817712685903021) + pow2(x1))))"
23,0.03744114636812633,"1.1332522867230201 + (((pow2(x2) + ((cos(x2 / 0.1061341418008926) + cos((-0.6881023188565238 - x1) / 0.1061341418008926)) * -0.48225745669707953)) + pow2(x1)) * 1.1332522867230201)"
24,0.037419630659399246,"1.1332522867230201 + (1.1332522867230201 * ((pow2(x2) + pow2(x1)) + ((cos((-0.6881023188565238 - x1) / 0.1061341418008926) + cos(x2 / 0.1061341418008926)) * sin(-0.5084297255254807))))"
25,0.03268271430242089,"1.1348247178987474 + (1.1348247178987474 * ((pow2(x2) + ((cos((1.3136783400595904 - x1) / 0.10616330888670461) + cos((x2 - -1.352452905035045) / -0.10612521629479976)) * -0.48968941481853345)) + pow2(x1)))"
26,0.03264828606746296,"1.1348247178987474 * ((-0.48968941481853345 * (cos((1.3136783400595904 - x1) / 0.10616330888670461) + cos((1.3146415649099614 - x2) / 0.10611537932483278))) + (cos(0.10084533110069979) + (pow2(x2) + pow2(x1))))"
27,0.0326327450928637,"(1.1348247178987474 * ((pow2(x1) + pow2(x2 * -0.9985999399359101)) + ((cos((-1.352737214384767 - x2) / -0.10612521629479976) + cos((x1 - 1.3136783400595904) / 0.10616330888670461)) * -0.48968941481853345))) + 1.1348247178987474"
28,0.03262125599547075,"((pow2(x2) + cos(x2 * -0.09787598294424457)) + (((cos((1.3136783400595904 - x1) / 0.10616330888670461) + cos((x2 - -1.352452905035045) / -0.10612521629479976)) * -0.48968941481853345) + pow2(x1))) * 1.1348247178987474"
29,0.03260621601935369,"((pow2(x1) + pow2(x2)) + (cos(sin(x2) * 0.1584638648447065) + (-0.48968941481853345 * (cos((x1 - 1.3136783400595904) / 0.10616330888670461) + cos(-0.17748478223402187 + (x2 / -0.10612521629479976)))))) * 1.1348247178987474"
30,0.03259418717847677,"((pow2(x2) + cos(x2 * -0.09787598294424457)) + (((cos((1.3136783400595904 - x1) / 0.10616330888670461) + cos((x2 - -1.352452905035045) / -0.10612521629479976)) * -0.48968941481853345) + pow2(0.00219800637874206 - x1))) * 1.1348247178987474"
31,0.032580044429456514,"((pow2(x1 - 0.0019828959800500118) + pow2(x2)) + ((-0.48968941481853345 * (cos((x2 - 1.3150621856357632) / -0.10612521629479976) + cos((1.3136783400595904 - x1) / 0.10616330888670461))) + cos(-0.15366427434404648 * sin(x2)))) * 1.1348247178987474"
32,0.03258001886973359,"(pow2(x1 - 0.0019828959800500118) + (cos(sin(x2) * exp(-1.8789510317738063)) + (pow2(x2) + (-0.48968941481853345 * (cos((x2 - 1.3150621856357632) / -0.10612521629479976) + cos((1.3136783400595904 - x1) / 0.10616330888670461)))))) * 1.1348247178987474"
33,0.032574797758214306,"1.1348247178987474 * (((pow2(x2) + 0.0024406717356680995) + pow2(0.0019828959800500118 - x1)) + (cos(sin(x2) * -0.17786795499131547) + (-0.48968941481853345 * (cos((1.3136783400595904 - x1) / 0.10616330888670461) + cos((x2 - 1.3150621856357632) / -0.10612521629479976)))))"
35,0.03256915853176304,"(0.005285952191832053 + 1.1348247178987474) * (((cos((x1 - 1.3136783400595904) / 0.10616330888670461) * -0.4841526291891304) + cos(-0.25987494576670406 * sin(x2))) + ((pow2(x1 - 0.0027579550195882554) + pow2(x2)) + (-0.4841526291891304 * cos((x2 - 1.3150621856357632) / -0.10612521629479976))))"
36,0.03255809177320551,"1.1348247178987474 + (1.1348247178987474 * (((cos((x1 * -0.18188631194933924) * x2) * log(cos(-0.9196285041340116))) * cos((-1.352389451529256 - x2) / -0.10612521629479976)) + (pow2(x2) + (pow2(x1) + (-0.4841526291891304 * cos((1.3136783400595904 - x1) / 0.10616330888670461))))))"
37,0.032536767679399003,"((pow2(x2) + ((cos(-0.08869195447912388) + (cos((x2 * -0.1770945704946021) * x1) * (cos((x2 - 1.3149513892183426) / -0.10612521629479976) * log(cos(-0.9196285041340116))))) + (cos((x1 - 0.6456153051034511) / -0.10612521629479976) * -0.4841526291891304))) + pow2(x1)) * 1.1348247178987474"
38,0.03253160081028661,"1.1348247178987474 + (1.1348247178987474 * (((cos(x1 * (-0.18188631194933924 * x2)) * log(cos(-0.9196285041340116))) * cos((-1.352389451529256 - x2) / -0.10612521629479976)) + (pow2(x2) + (pow2(x1 + -0.001989372341673744) + (-0.4841526291891304 * cos((1.3136783400595904 - x1) / 0.10616330888670461))))))"
39,0.03251256879655,"1.1348247178987474 * (((log(cos(-0.9196285041340116)) * cos(x2 * (0.1793907745104037 * x1))) * cos((x2 - -1.352389451529256) / -0.10612521629479976)) + (((cos((1.3136783400595904 - x1) / 0.10616330888670461) * -0.4841526291891304) + cos(-0.09032005602231159)) + (pow2(x1 - 0.0019119443799581008) + pow2(x2))))"
40,0.032506391744152235,"1.1348247178987474 + (1.1348247178987474 * (((cos(x1 * (-0.18188631194933924 * x2)) * log(cos(-0.9196285041340116))) * cos((-1.352389451529256 - x2) / -0.10612521629479976)) + (pow2(x2 * -0.9985999399359101) + (pow2(x1 + -0.001989372341673744) + (-0.4841526291891304 * cos((1.3136783400595904 - x1) / 0.10616330888670461))))))"
41,0.032465266203503394,"((((cos((1.3150621856357632 - x2) / -0.10612521629479976) * log(0.611068705715836)) * cos(x2 * (x1 * 0.16326237960531345))) + (((cos((x1 - 1.3136783400595904) / 0.10616330888670461) * -0.4841526291891304) + pow2(x2)) + pow2(x1))) + cos(-0.24836849515673087 * sin(x2))) * (1.1348247178987474 + 0.005285952191832053)"
42,0.03245534747107031,"(((cos(-0.24836849515673087 * sin(x2)) + ((cos((-1.3521873556521227 - x2) / -0.10612521629479976) * log(exp(-0.49539701226139454))) * cos((x1 * -0.17380799246080494) * x2))) + pow2(x1)) + ((-0.4841526291891304 * cos((x1 - 1.3136783400595904) / 0.10616330888670461)) + pow2(x2))) * (1.1348247178987474 + 0.005285952191832053)"
43,0.032450113395527794,"(1.1348247178987474 + 0.005285952191832053) * (((-0.4841526291891304 * cos((x1 - 1.3136783400595904) / 0.10616330888670461)) + (pow2(x1 + -0.0007608291478700373) + ((log(0.611068705715836) * (cos((x2 * x1) * -0.1645903318201612) * cos((x2 - 1.3150621856357632) / -0.10612521629479976))) + cos(-0.2512421463560069 * sin(x2))))) + pow2(x2))"
44,0.032429106374293006,"(((cos((1.3136783400595904 - x1) / 0.10616330888670461) * -0.4841526291891304) + (((log(exp(-0.49539701226139454)) * cos((1.3150621856357632 - x2) / -0.10612521629479976)) * cos(x2 * (-0.17380799246080494 * x1))) + (cos(-0.24836849515673087 * sin(x2)) + pow2(x2)))) + pow2(x1 - 0.0019119443799581008)) * (1.1348247178987474 + 0.005285952191832053)"
46,0.03242699643198229,"-0.0020316977108940024 + ((((cos((1.3136783400595904 - x1) / 0.10616330888670461) * -0.4841526291891304) + (((log(exp(-0.49539701226139454)) * cos((1.3150621856357632 - x2) / -0.10612521629479976)) * cos(x2 * (-0.17380799246080494 * x1))) + (cos(-0.24836849515673087 * sin(x2)) + pow2(x2)))) + pow2(x1 - 0.0019119443799581008)) * (1.1348247178987474 + 0.005285952191832053))"
